Name	GSM	Treatment	Condition
LNCaP_GRHL2_1	GSM2122802	NA
LNCaP_GRHL2_2	GSM2122803	NA
LNCaP_MYC1_1	GSM1907203	NA
LNCaP_MYC1_2	GSM1907204	NA
LNCaP_NANOG_1	GSM1933885	NA
LNCaP_TET2_1	GSM1613322	NA
LNCaP_CREB1_1	GSM1538431	NA
LNCaP_CK2A_1	GSM1415123	NA
LNCaP_EZH2_1	GSM1527841	NA
LNCaP_ETV1_1	GSM1145322	NA
LNCaP_TCF7L2_1	GSM1249449	NA
LNCaP_AP4_1	GSM714610	NA
LNCaP_CTCF_1	GSM1006887	NA
LNCaP_SUZ12_1	GSM969572	NA
LNCaP_MEN1_1	GSM3893167	NA
LNCaP_CREB5_1	GSM4087685	NA
LNCaP_CREB5_2	GSM4087686	NA
LNCaP_MED12_1	GSM686945	NA
LNCaP_P300_1	GSM686943	NA
LNCaP_BRD4_1	GSM3323535	NA
LNCaP_REST_1	GSM3374021	NA
LNCaP_REST_2	GSM3374022	NA
LNCaP_SMARCC1_1	GSM3223719	NA
LNCaP_ERG_1	GSM3223716	NA
