Name	Unit	Fastq1	Fastq2	Library
inputGSE83860	1	SRR3728865	-	Single
inputGSE83860	2	SRR3728866	-	Single
inputGSE83860	3	SRR3728867	-	Single
inputGSE83860	4	SRR3728868	-	Single
inputGSE85558	1	SRR4025895	-	Single
inputGSE93845	1	SRR5189298	-	Single
LNCaP_AR_ET	1	SRR3728825	-	Single
LNCaP_AR_ET	2	SRR3728826	-	Single
LNCaP_AR_ET	3	SRR3728827	-	Single
LNCaP_AR_ET	4	SRR3728828	-	Single
LNCaP_ARID1A_ET	1	SRR5238076	-	Single
LNCaP_ARID1A_ET	2	SRR5238078	-	Single
LNCaP_HIF1A_ET	1	SRR7192348	-	Single
LNCaP_NMYC_ET	1	SRR7536835	-	Single
LNCaP_XBP1s_ET	1	SRR8115021	-	Single
LNCaP_XBP1s_ET	2	SRR8115023	-	Single
LNCaP_MYBL2_ET	1	SRR8434759	-	Single
LNCaP_MYBL2_ET	2	SRR8434761	-	Single
LNCaP_MED1_ET	1	SRR8451256	-	Single
LNCaP_NKX3_1_ET	1	SRR203391	-	Single
LNCaP_POLR2A_ET	1	SRR203396	-	Single
LNCaP_POLR2A_ET	2	SRR203397	-	Single
LNCaP_PSF_ET	1	SRR772070	-	Single
LNCaP_WDR5_ET	1	SRR1175535	-	Single
LNCaP_CTBP1_ET	1	SRR1390649	-	Single
LNCaP_CTBP2_ET	1	SRR1390650	-	Single
LNCaP_FOXP1_ET	1	SRR1615998	-	Single
LNCaP_RUNX1_ET	1	SRR1616001	-	Single
LNCaP_TOP1_ET	1	SRR1648902	-	Single
LNCaP_MRE11_ET	1	SRR1648884	-	Single
LNCaP_CHD1_ET	1	SRR1735554	-	Single
LNCaP_LSD1_K114me2_ET	1	SRR1735556	-	Single
LNCaP_GATA2_ET	1	SRR2033035	-	Single
LNCaP_TRIM24_ET	1	SRR2043644	-	Single
LNCaP_OCT1_ET	1	SRR3159895	-	Single
LNCaP_FOXA1_ET	1	SRR3728841	-	Single
LNCaP_FOXA1_ET	2	SRR3728842	-	Single
LNCaP_FOXA1_ET	3	SRR3728843	-	Single
LNCaP_FOXA1_ET	4	SRR3728844	-	Single
LNCaP_P65_ET	1	SRR3728877	-	Single
LNCaP_P65_ET	2	SRR3728878	-	Single
LNCaP_P65_ET	3	SRR3728879	-	Single
LNCaP_P65_ET	4	SRR3728880	-	Single
LNCaP_PIAS1_ET	1	SRR3728857	-	Single
LNCaP_PIAS1_ET	2	SRR3728858	-	Single
LNCaP_PIAS1_ET	3	SRR3728859	-	Single
LNCaP_PIAS1_ET	4	SRR3728860	-	Single
LNCaP_MTOR_ET	1	SRR5189294	-	Single
